ques_link,git_sol,youtube_sol,title,comment
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/modify-sequence/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Modify%20Sequence,https://youtu.be/oGCeqn76jJs,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/perfect-subarray-43560f46/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Perfect%20Subarray,https://youtu.be/OoshjG_Ptno,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/supreme-subset-bb866a75/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Supreme%20Subset,https://youtu.be/qt12dCkrAV8,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/bracket-sequence-1-40eab940/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Bracket%20sequences,https://youtu.be/sRNRE0RQgxs,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/not-in-range-44d19403/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Not%20in%20Range,https://youtu.be/sTUPaN6VyxY,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/2-arrays-90c9019c/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/2%20arrays,https://youtu.be/txlt5MpaYdc,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/monk-and-power-of-time/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Monk%20and%20Power%20of%20Time,https://youtu.be/UpJyVJmvMsU,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/minimum-and-xor-or-6a05bbd4/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Minimum%20AND%20xor%20OR,https://youtu.be/vvs1EhI_6U0,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/mark-the-answer-1/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Mark%20The%20Answer,https://youtu.be/vYL0_OoNoT0,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/digitial-sequence-ee0ea080/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/Digital%20Sequence,https://youtu.be/Y2Q89ZQw4zI,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
https://www.hackerearth.com/practice/data-structures/arrays/1-d/practice-problems/algorithm/in-an-array-9fbe4c12/,https://github.com/pttrilok/courses/blob/master/Hackerearth/Data%20Structure/Arrays/1%20-%20D/In%20an%20array,https://youtu.be/YZkta8xCUdw,Easy C++ solution by Geeksman,Here is the easy c++ solution by GeeksMan. Find solution and video link as below.Refer to youtube channel for complete solution of all hackerearth problems.
